zip_code,state,city,county,county_rate,city_rate,state_rate,combined_rate,special_district_rate,tax_basis_rule,trade_in_credit
33126,FL,Miami,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33127,FL,Miami,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
32801,FL,Orlando,Orange,0.0050,0.0000,0.0600,0.0650,0.0000,DESTINATION_BASED,TRUE
32802,FL,Orlando,Orange,0.0050,0.0000,0.0600,0.0650,0.0000,DESTINATION_BASED,TRUE
32803,FL,Orlando,Orange,0.0050,0.0000,0.0600,0.0650,0.0000,DESTINATION_BASED,TRUE
32804,FL,Orlando,Orange,0.0050,0.0000,0.0600,0.0650,0.0000,DESTINATION_BASED,TRUE
32805,FL,Orlando,Orange,0.0050,0.0000,0.0600,0.0650,0.0000,DESTINATION_BASED,TRUE
33601,FL,Tampa,Hillsborough,0.0150,0.0000,0.0600,0.0750,0.0000,DESTINATION_BASED,TRUE
33602,FL,Tampa,Hillsborough,0.0150,0.0000,0.0600,0.0750,0.0000,DESTINATION_BASED,TRUE
33603,FL,Tampa,Hillsborough,0.0150,0.0000,0.0600,0.0750,0.0000,DESTINATION_BASED,TRUE
33604,FL,Tampa,Hillsborough,0.0150,0.0000,0.0600,0.0750,0.0000,DESTINATION_BASED,TRUE
33605,FL,Tampa,Hillsborough,0.0150,0.0000,0.0600,0.0750,0.0000,DESTINATION_BASED,TRUE
32201,FL,Jacksonville,Duval,0.0050,0.0000,0.0600,0.0750,0.0100,DESTINATION_BASED,TRUE
32202,FL,Jacksonville,Duval,0.0050,0.0000,0.0600,0.0750,0.0100,DESTINATION_BASED,TRUE
32203,FL,Jacksonville,Duval,0.0050,0.0000,0.0600,0.0750,0.0100,DESTINATION_BASED,TRUE
32204,FL,Jacksonville,Duval,0.0050,0.0000,0.0600,0.0750,0.0100,DESTINATION_BASED,TRUE
32205,FL,Jacksonville,Duval,0.0050,0.0000,0.0600,0.0750,0.0100,DESTINATION_BASED,TRUE
33301,FL,Fort Lauderdale,Broward,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33302,FL,Fort Lauderdale,Broward,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33303,FL,Fort Lauderdale,Broward,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33304,FL,Fort Lauderdale,Broward,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33305,FL,Fort Lauderdale,Broward,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33401,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33402,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33403,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33404,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33405,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33406,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33407,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33408,FL,West Palm Beach,Palm Beach,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
